,GWP,CED renewable,CED non-renewable,ES2013
Mix_Other,0.4257947080552819,1.490030219437155,9.073542966772969,442.2029136517845
Residual_Hydro_CH,0.0032870001159608364,3.793043375015259,0.04333524778485298,11.914536476135254
Residual_Other_CH,0.1217477023601532,3.320119857788086,0.7476407885551453,497.4714660644531
Biomass_AT,0.11051618307828903,12.16038990020752,0.5506060123443604,476.83001708984375
Fossil_Brown_coal/Lignite_AT,0.0,0.0,0.0,0.0
Fossil_Coal-derived_gas_AT,0.0,0.0,0.0,0.0
Fossil_Gas_AT,0.59372478723526,0.01215331070125103,10.708956718444824,364.8298034667969
Fossil_Hard_coal_AT,0.9839048981666565,0.13287436962127686,12.290407180786133,567.9834594726562
Fossil_Oil_AT,0.930270791053772,0.04945752024650574,14.554545402526855,739.4979248046875
Fossil_Oil_shale_AT,0.0,0.0,0.0,0.0
Fossil_Peat_AT,0.0,0.0,0.0,0.0
Geothermal_AT,0.06729999929666519,0.08672724664211273,0.9961733818054199,104.42919158935547
Hydro_Pumped_Storage_AT,0.49160000681877136,4.043091297149658,6.946614742279053,371.93328857421875
Hydro_Run-of-river_and_poundage_AT,0.003843999933451414,3.793043375015259,0.04333524778485298,11.914536476135254
Hydro_Water_Reservoir_AT,0.005993000231683254,3.7941412925720215,0.058195799589157104,14.104583740234375
Marine_AT,0.0,0.0,0.0,0.0
Nuclear_AT,0.0,0.0,0.0,0.0
Other_fossil_AT,1.8940000534057617,0.2223850041627884,19.09918975830078,1486.0560302734375
Other_renewable_AT,0.0,0.0,0.0,0.0
Solar_AT,0.09802315384149551,4.063555717468262,1.3343976736068726,189.11473083496094
Waste_AT,0.0,0.0,0.0,0.0
Wind_Offshore_AT,0.0,0.0,0.0,0.0
Wind_Onshore_AT,0.015782825648784637,3.8853235244750977,0.23556731641292572,41.5988883972168
Biomass_CH,0.07694291323423386,12.031376838684082,0.5232757329940796,385.79644775390625
Fossil_Brown_coal/Lignite_CH,0.0,0.0,0.0,0.0
Fossil_Coal-derived_gas_CH,0.0,0.0,0.0,0.0
Fossil_Gas_CH,0.6132000088691711,0.014619776047766209,9.794525146484375,382.3852844238281
Fossil_Hard_coal_CH,0.0,0.0,0.0,0.0
Fossil_Oil_CH,0.0,0.0,0.0,0.0
Fossil_Oil_shale_CH,0.0,0.0,0.0,0.0
Fossil_Peat_CH,0.0,0.0,0.0,0.0
Geothermal_CH,0.0,0.0,0.0,0.0
Hydro_Pumped_Storage_CH,0.1624000072479248,3.0260026454925537,9.563288688659668,338.2715148925781
Hydro_Run-of-river_and_poundage_CH,0.0032870001159608364,3.793043375015259,0.04333524778485298,11.914536476135254
Hydro_Water_Reservoir_CH,0.005994999781250954,3.7941412925720215,0.058195799589157104,14.164568901062012
Marine_CH,0.0,0.0,0.0,0.0
Nuclear_CH,0.00574538903310895,0.0208000335842371,13.774365425109863,324.7051696777344
Other_fossil_CH,0.0,0.0,0.0,0.0
Other_renewable_CH,0.0,0.0,0.0,0.0
Solar_CH,0.08557626605033875,4.029860973358154,1.166662335395813,169.40322875976562
Waste_CH,0.003843999933451414,0.0,0.0,0.0
Wind_Offshore_CH,0.0,0.0,0.0,0.0
Wind_Onshore_CH,0.01783597283065319,3.8869500160217285,0.2589355409145355,47.99451446533203
Biomass_FR,0.09434470534324646,13.522714614868164,0.5574076771736145,442.143798828125
Fossil_Brown_coal/Lignite_FR,0.0,0.0,0.0,0.0
Fossil_Coal-derived_gas_FR,0.0,0.0,0.0,0.0
Fossil_Gas_FR,0.5991659164428711,0.009892629459500313,10.620972633361816,378.3510437011719
Fossil_Hard_coal_FR,1.062000036239624,0.1373099982738495,12.839022636413574,787.2113037109375
Fossil_Oil_FR,0.9163276553153992,0.04860085994005203,14.310540199279785,988.831298828125
Fossil_Oil_shale_FR,0.0,0.0,0.0,0.0
Fossil_Peat_FR,0.0,0.0,0.0,0.0
Geothermal_FR,0.06729999929666519,0.0,0.0,0.0
Hydro_Pumped_Storage_FR,0.15410000085830688,0.9574031829833984,17.58662223815918,488.9896545410156
Hydro_Run-of-river_and_poundage_FR,0.003843999933451414,3.793043375015259,0.04333524778485298,11.914536476135254
Hydro_Water_Reservoir_FR,0.005993000231683254,3.7941412925720215,0.058195799589157104,19.62748146057129
Marine_FR,0.0,0.0,0.0,0.0
Nuclear_FR,0.006155999843031168,0.021100999787449837,14.11653995513916,365.09588623046875
Other_fossil_FR,0.0,0.0,0.0,0.0
Other_renewable_FR,0.0,0.0,0.0,0.0
Solar_FR,0.08307255804538727,4.033232688903809,1.1306694746017456,160.70692443847656
Waste_FR,0.0,0.0,0.0,0.0
Wind_Offshore_FR,0.014670000411570072,3.884735584259033,0.19018350541591644,37.24181365966797
Wind_Onshore_FR,0.013810092583298683,3.8835971355438232,0.2078123241662979,36.431297302246094
Biomass_IT,0.20468910038471222,4.227241039276123,0.5109981298446655,678.8162231445312
Fossil_Brown_coal/Lignite_IT,1.1490000486373901,0.041420210152864456,11.36390209197998,2201.49658203125
Fossil_Coal-derived_gas_IT,1.1109999418258667,0.300449013710022,24.77060890197754,2476.947021484375
Fossil_Gas_IT,0.5515982508659363,0.011286058463156223,9.393315315246582,332.9679870605469
Fossil_Hard_coal_IT,1.070369005203247,0.12488310039043427,10.65584659576416,828.2318115234375
Fossil_Oil_IT,0.9041603207588196,0.046010568737983704,13.540163040161133,955.719482421875
Fossil_Oil_shale_IT,0.0,0.0,0.0,0.0
Fossil_Peat_IT,0.0,0.0,0.0,0.0
