,Residual_Hydro_Water_Reservoir_IT,Residual_Hydro_Run-of-river_and_poundage_IT,Residual_Other_IT,Biomass_IT,Fossil_Brown_coal/Lignite_IT,Fossil_Coal-derived_gas_IT,Fossil_Gas_IT,Fossil_Hard_coal_IT,Fossil_Oil_IT,Fossil_Oil_shale_IT,Fossil_Peat_IT,Geothermal_IT,Hydro_Pumped_Storage_IT,Hydro_Run-of-river_and_poundage_IT,Hydro_Water_Reservoir_IT,Marine_IT,Nuclear_IT,Other_fossil_IT,Other_renewable_IT,Solar_IT,Waste_IT,Wind_Offshore_IT,Wind_Onshore_IT
2023-11-27 23:00:00,0.0,0.0,0.0,0.0011000176256751616,0.0,0.0007492914499554113,0.0005984227560487691,0.00045997225995545067,6.113945691405235e-06,0.0,0.0,3.310468318403625e-05,1.5012693336293e-06,1.6793748538603148e-05,1.0493195786863414e-06,0.0,0.0,0.0010589028318307955,0.0,0.0,0.0,8.578682228712145e-08,0.00036247475389829096
2023-11-28 00:00:00,0.0,0.0,0.0,0.0011708802263968984,0.0,0.0007986057363935733,0.000551908704075873,0.0004085984990899803,1.0846338501374894e-05,0.0,0.0,3.529374076762234e-05,0.0,1.5718680541296616e-05,1.1056342536851797e-06,0.0,0.0,0.001093090668839367,0.0,0.0,0.0,3.287274036387832e-07,0.0003991597409973354
2023-11-28 01:00:00,0.0,0.0,0.0,0.0012479708217113068,0.0,0.0008451490508384473,0.0005614718938109095,0.0003929107269564806,6.88708252778581e-06,0.0,0.0,3.741044636071453e-05,0.0,1.600817505744172e-05,1.1541520711630233e-06,0.0,0.0,0.0010570211786972716,0.0,0.0,0.0,4.831748225360059e-07,0.00042480813038423676
2023-11-28 02:00:00,0.0,0.0,0.0,0.0011902088819682175,0.0,0.0008284795415044694,0.0005743519932421696,0.00040216492577384977,6.760091715313259e-06,0.0,0.0,3.6661976533274925e-05,0.0,1.543476475789851e-05,1.132870678259345e-06,0.0,0.0,0.0010080763939115923,0.0,0.0,0.0,5.501480602224637e-07,0.0004333627672444091
2023-11-28 03:00:00,0.0,0.0,0.0,0.0011903591244866935,0.0,0.0008384585613102322,0.000560997131850384,0.0003867340710371867,6.6160676615644335e-06,0.0,0.0,3.570866321839012e-05,0.0,1.5249246395245221e-05,1.1087348182255979e-06,0.0,0.0,0.0009793925666530575,0.0,0.0,0.0,4.827277729837162e-07,0.000456143364686222
2023-11-28 04:00:00,0.0,0.0,0.0,0.0011072387178935519,0.0,0.0007511050374505032,0.0005768406624204942,0.00042873366734492296,6.088843229238459e-06,0.0,0.0,3.2810259261150776e-05,0.0,1.4601222835271412e-05,1.023899972927666e-06,0.0,0.0,0.0010492492808661217,0.0,0.0,0.0,4.955206870901149e-07,0.0004274085029271607
2023-11-28 05:00:00,0.0,0.0,0.0,0.0009301511486596913,0.0,0.0006332136450156507,0.0007105812471207647,0.00044506705524889704,5.133155048729151e-06,0.0,0.0,2.7660450702317233e-05,1.1764086137649234e-05,1.3905124903752266e-05,1.0352364614875798e-06,0.0,0.0,0.0012312297645018517,0.0,0.0,0.0,3.8893510732450126e-07,0.0003646690463995172
2023-11-28 06:00:00,0.0,0.0,0.0,0.0007499991904139232,0.0,0.0005258974377984043,0.0007724438504793481,0.00043489906584503086,4.577207261272329e-06,0.0,0.0,2.312313551610004e-05,0.0001404907166715878,1.8321680043503388e-05,1.6688475637277526e-06,0.0,0.0,0.0011844476590138766,0.0,6.0854886815568954e-05,0.0,3.1309360891521504e-07,0.00029857561737588824
2023-11-28 07:00:00,0.0,0.0,0.0,0.0006703276348775507,0.0,0.00047537545689026146,0.0007560727246951893,0.00039393698933496373,3.863699341217109e-06,0.0,0.0,2.0819878640285832e-05,0.00038233618879298823,2.058947375849665e-05,2.2885317366451707e-06,0.0,0.0,0.001086668230987256,0.0,0.0004434429110806938,0.0,3.1443459458373697e-07,0.0002626279696632092
2023-11-28 08:00:00,0.0,0.0,0.0,0.0006405722967843974,0.0,0.0004646578138551504,0.0007271357837147449,0.00038309419136816264,6.269761089843273e-06,0.0,0.0,2.023844783853918e-05,0.00036917918586841194,2.035642420341857e-05,2.162992799151566e-06,0.0,0.0,0.0010645812139323076,0.0,0.00109634152688147,0.0,3.061464589738086e-07,0.0002579490620028988
